"source","target","value"
"O00571;O00571-2","A0AVT1;A0AVT1-2",0.784753943023829
"O00584","A0AVT1;A0AVT1-2",0.791556443331442
"O00592-2;O00592","A0AVT1;A0AVT1-2",0.775201861219198
"O00625","A0AVT1;A0AVT1-2",0.791814615310288
"O00629","A0AVT1;A0AVT1-2",0.599304463979278
"O00743;O00743-2;O00743-3","A0AVT1;A0AVT1-2",0.677632732081347
"O00746","A0AVT1;A0AVT1-2",0.699149293804041
"O00750","A0AVT1;A0AVT1-2",0.663372320784442
"O00754;O00754-2","A0AVT1;A0AVT1-2",0.737067851692556
"O00762;O00762-2;O00762-3","A0AVT1;A0AVT1-2",0.768790693890639
"O00764;O00764-3;O00764-2","A0AVT1;A0AVT1-2",0.513349838340694
